,Ib,Ig,Id,To,HR,WS,P,WD
2018-03-04 00:00:00,0.0,0.0,0.0,22.19,25.93,0.994,876.5656,315.946
2018-03-04 00:10:00,0.087,0.0,0.0,21.74,23.89,0.9,876.5982,329.6
2018-03-04 00:20:00,0.125,0.0,0.0,22.59,24.91,0.797,876.6808,330.45
2018-03-04 00:30:00,0.013,0.0,0.0,21.85,24.81,1.283,876.8106,338.5
2018-03-04 00:40:00,0.18,0.0,0.0,21.62,25.52,2.123,876.991,348.0
2018-03-04 00:50:00,0.088,0.0,0.0,21.36,27.23,2.041,877.04,346.85
2018-03-04 01:00:00,0.167,0.0,0.0,21.02,26.27,2.251,876.9988,337.35
2018-03-04 01:10:00,0.147,0.0,0.0,21.29,27.81,2.146,877.0317,309.3027
2018-03-04 01:20:00,0.0,0.0,0.0,20.5,29.03,2.37,877.0317,347.25
2018-03-04 01:30:00,0.08,0.0,0.0,20.47,28.08,2.719,877.0153,334.09000000000003
2018-03-04 01:40:00,0.08,0.0,0.0,20.61,28.25,2.211,877.0153,343.13
2018-03-04 01:50:00,0.0,0.0,0.0,20.27,29.95,1.775,876.9415,188.352
2018-03-04 02:00:00,0.0,0.0,0.0,19.74,30.67,2.026,876.7448,213.4927
2018-03-04 02:10:00,0.0,0.0,0.0,19.22,32.71,2.181,876.9182,343.61
2018-03-04 02:20:00,0.178,0.0,0.0,19.37,31.04,2.524,876.8427,341.87
2018-03-04 02:30:00,0.098,0.0,0.0,19.61,31.76,2.073,876.6563,333.3
2018-03-04 02:40:00,0.0,0.0,0.0,18.87,33.43,2.078,877.0236,209.79989999999998
2018-03-04 02:50:00,0.0,0.0,0.0,18.45,34.04,1.899,876.7285,155.3126
2018-03-04 03:00:00,0.0,0.0,0.0,18.08,36.33,1.235,876.959,280.32370000000003
2018-03-04 03:10:00,0.053,0.0,0.0,17.93,34.9,1.951,877.0798,283.8115
2018-03-04 03:20:00,0.388,0.0,0.0,18.75,32.13,1.865,876.9672,277.9462
2018-03-04 03:30:00,0.229,0.0,0.0,19.2,34.35,2.227,877.1953,309.44079999999997
2018-03-04 03:40:00,0.046,0.0,0.0,18.54,34.79,2.479,877.0971,327.61
2018-03-04 03:50:00,0.113,0.0,0.0,18.66,34.35,2.229,877.1707,312.71
2018-03-04 04:00:00,0.0,0.0,0.0,17.9,38.54,2.151,876.9742,319.06
2018-03-04 04:10:00,0.048,0.0,0.0,17.49,38.17,2.353,877.0974,316.41999999999996
2018-03-04 04:20:00,0.0,0.0,0.0,17.51,39.15,2.211,877.1953,309.0
2018-03-04 04:30:00,0.036,0.0,0.0,17.69,37.49,1.961,877.1953,332.51
2018-03-04 04:40:00,0.028,0.0,0.0,17.6,39.02,2.45,877.0066,330.91999999999996
2018-03-04 04:50:00,0.013,0.0,0.0,17.35,40.28,2.349,876.8436,332.65999999999997
2018-03-04 05:00:00,0.033,0.0,0.0,17.26,39.77,2.675,877.0809,340.23
2018-03-04 05:10:00,0.013,0.0,0.0,17.32,39.33,2.888,877.4008,346.94
2018-03-04 05:20:00,0.007,0.0,0.0,17.29,39.26,2.785,877.5627,345.77
2018-03-04 05:30:00,0.0,0.0,0.0,17.1,40.04,3.245,877.1871,345.86
2018-03-04 05:40:00,0.0,0.0,0.0,16.9,39.94,3.261,877.7686,343.99
2018-03-04 05:50:00,0.013,0.0,0.0,16.8,40.89,3.296,877.7762,345.38
2018-03-04 06:00:00,0.09,0.0,0.0,16.77,39.63,3.198,877.7839,344.46999999999997
2018-03-04 06:10:00,0.0,0.0,0.0,16.7,39.8,3.069,877.7018,354.53000000000003
2018-03-04 06:20:00,0.094,0.0,0.0,16.74,39.36,2.844,877.8088,352.37
2018-03-04 06:30:00,0.004,0.0,0.0,16.69,40.21,2.666,877.7444,341.38
