Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Hour Angle [deg](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/04  00:10:00,21.7,0.9,329.0,0.0,,0.0,189.6366987485473,0.0 
 03/04  00:20:00,22.6,0.8,330.0,0.0,,0.0,187.1366987485473,0.0 
 03/04  00:30:00,21.9,1.3,338.0,0.0,,0.0,184.6366987485473,0.0 
 03/04  00:40:00,21.6,2.1,348.0,0.0,,0.0,182.1366987485473,0.0 
 03/04  00:50:00,21.4,2.0,346.0,0.0,,0.0,179.6366987485473,0.0 
 03/04  01:00:00,21.0,2.3,337.0,0.0,0.0,0.0,177.1366987485473,0.0 
 03/04  01:10:00,21.3,2.1,309.0,0.0,,0.0,174.6366987485473,0.0 
 03/04  01:20:00,20.5,2.4,347.0,0.0,,0.0,172.1366987485473,0.0 
 03/04  01:30:00,20.5,2.7,334.0,0.0,,0.0,169.6366987485473,0.0 
 03/04  01:40:00,20.6,2.2,343.0,0.0,,0.0,167.1366987485473,0.0 
 03/04  01:50:00,20.3,1.8,188.0,0.0,,0.0,164.6366987485473,0.0 
 03/04  02:00:00,19.7,2.0,213.0,0.0,0.0,0.0,162.1366987485473,0.0 
 03/04  02:10:00,19.2,2.2,343.0,0.0,,0.0,159.6366987485473,0.0 
 03/04  02:20:00,19.4,2.5,341.0,0.0,,0.0,157.1366987485473,0.0 
 03/04  02:30:00,19.6,2.1,333.0,0.0,,0.0,154.6366987485473,0.0 
 03/04  02:40:00,18.9,2.1,209.0,0.0,,0.0,152.1366987485473,0.0 
 03/04  02:50:00,18.5,1.9,155.0,0.0,,0.0,149.6366987485473,0.0 
 03/04  03:00:00,18.1,1.2,280.0,0.0,0.0,0.0,147.1366987485473,0.0 
 03/04  03:10:00,17.9,2.0,283.0,0.0,,0.0,144.6366987485473,0.0 
 03/04  03:20:00,18.8,1.9,277.0,0.0,,0.0,142.1366987485473,0.0 
 03/04  03:30:00,19.2,2.2,309.0,0.0,,0.0,139.6366987485473,0.0 
 03/04  03:40:00,18.5,2.5,327.0,0.0,,0.0,137.1366987485473,0.0 
 03/04  03:50:00,18.7,2.2,312.0,0.0,,0.0,134.6366987485473,0.0 
 03/04  04:00:00,17.9,2.2,319.0,0.0,0.0,0.0,132.1366987485473,0.0 
 03/04  04:10:00,17.5,2.4,316.0,0.0,,0.0,129.6366987485473,0.0 
 03/04  04:20:00,17.5,2.2,309.0,0.0,,0.0,127.13669874854732,0.0 
 03/04  04:30:00,17.7,2.0,332.0,0.0,,0.0,124.63669874854732,0.0 
 03/04  04:40:00,17.6,2.5,330.0,0.0,,0.0,122.13669874854732,0.0 
 03/04  04:50:00,17.4,2.3,332.0,0.0,,0.0,119.63669874854732,0.0 
 03/04  05:00:00,17.3,2.7,340.0,0.0,0.0,0.0,117.13669874854732,0.0 
 03/04  05:10:00,17.3,2.9,346.0,0.0,,0.0,114.63669874854732,0.0 
 03/04  05:20:00,17.3,2.8,345.0,0.0,,0.0,112.13669874854732,0.0 
 03/04  05:30:00,17.1,3.2,345.0,0.0,,0.0,109.63669874854732,0.0 
 03/04  05:40:00,16.9,3.3,343.0,0.0,,0.0,107.13669874854732,0.0 
 03/04  05:50:00,16.8,3.3,345.0,0.0,,0.0,104.63669874854732,0.0 
 03/04  06:00:00,16.8,3.2,344.0,0.0,0.0,0.0,102.13669874854732,0.0 
 03/04  06:10:00,16.7,3.1,354.0,0.0,,0.0,99.63669874854732,0.0 
 03/04  06:20:00,16.7,2.8,352.0,0.0,,0.0,97.13669874854732,0.0 
 03/04  06:30:00,16.7,2.7,341.0,0.0,,0.0,94.63669874854732,0.0 
 03/04  06:40:00,16.5,2.3,344.0,0.0,,0.0,92.13669874854732,0.0 
 03/04  06:50:00,16.4,2.7,344.0,0.0,,0.0,89.63669874854732,0.0 
 03/04  07:00:00,16.1,2.6,329.0,0.891,0.1485,0.0,87.13669874854732,0.891 
 03/04  07:10:00,15.9,2.4,323.0,7.444,,8.76,84.63669874854732,7.966539194918631 
 03/04  07:20:00,16.1,2.2,330.0,17.28,,119.8,82.13669874854732,29.315052473655438 
 03/04  07:30:00,16.2,2.3,330.0,26.78,,234.7,79.63669874854732,59.876889194305775 
 03/04  07:40:00,16.6,1.8,306.0,35.4,,345.1,77.13669874854732,97.9487972628096 
 03/04  07:50:00,17.1,1.5,287.0,42.56,,427.4,74.63669874854732,137.04719246030731 
 03/04  08:00:00,17.8,1.2,293.0,49.06,29.754,492.4,72.13669874854732,177.29091510066368 
 03/04  08:10:00,18.8,1.1,266.0,55.15,,537.0,69.63669874854733,215.82626629262592 
 03/04  08:20:00,19.8,1.1,204.0,60.57,,577.1,67.1366987485473,255.26776524600166 
 03/04  08:30:00,20.6,0.8,214.0,65.13,,618.4,64.6366987485473,296.9266024726828 
